PRIOP;3;10
01;0000FF;5;9;1;
02;00FF00;14;10;6;
03;FF0000;1;4;4;
04;000055;14;3;3;
05;005500;11;9;6;
06;550000;12;9;6;
07;0000AA;10;7;4;
08;00AA00;13;3;4;
09;AA0000;8;2;3;
10;AA00FF;13;6;3;
11;AAFF00;8;1;2;
12;AAFFFF;7;5;3;
13;660000;6;10;1;
14;6600FF;14;8;1;
15;66FF00;8;6;3;
16;66FFFF;8;6;2;
17;010055;13;6;5;
18;015500;8;1;4;
19;015555;6;3;3;
20;BB0000;11;6;5;
21;BB00BB;5;5;3;
22;BBBB00;6;1;1;
23;BBBBBB;7;1;6;
24;330000;9;7;6;
25;003300;7;7;6;
26;000033;9;9;2;
27;330033;5;1;2;
28;220022;9;8;2;
29;220000;5;8;4;
30;002200;13;4;3;
